step,epoch,loss,avg_epoch_loss,lr,logit_scale,logit_bias,elapsed_s
16300,1,1.40384,3.567975,9.76e-05,31.4174,-0.310635,7543.3
16350,1,2.537495,3.564391,9.759e-05,31.4414,-0.310902,7565.9
16400,1,2.692055,3.561157,9.757e-05,31.447,-0.311127,7588.6
16450,1,2.757277,3.558324,9.755e-05,31.4414,-0.311319,7611.5
16500,1,2.721721,3.555633,9.754e-05,31.4364,-0.311554,7634.4
16550,1,2.767717,3.552843,9.752e-05,31.4505,-0.311849,7657.0
16600,1,2.689317,3.549239,9.75e-05,31.5168,-0.312284,7679.9
16650,1,2.373058,3.546059,9.748e-05,31.5314,-0.31256,7702.7
16700,1,2.402175,3.543133,9.747e-05,31.5467,-0.312827,7725.5
16750,1,2.603635,3.539966,9.745e-05,31.5933,-0.31322,7749.0
16800,1,2.514878,3.537047,9.743e-05,31.6139,-0.313549,7771.6
16850,1,2.502173,3.534174,9.742e-05,31.6277,-0.313833,7794.2
16900,1,2.538708,3.531194,9.74e-05,31.6587,-0.314193,7816.9
16950,1,2.150426,3.527493,9.738e-05,31.7301,-0.31464,7839.6
17000,1,2.589528,3.523885,9.736e-05,31.7772,-0.31502,7862.3
17050,1,2.712717,3.520505,9.735e-05,31.8123,-0.315308,7889.5
17100,1,2.384851,3.517503,9.733e-05,31.8207,-0.315644,7912.3
17150,1,2.73852,3.514955,9.731e-05,31.8129,-0.315857,7935.0
17200,1,2.538024,3.512191,9.729e-05,31.8379,-0.316196,7957.7
17250,1,2.620705,3.509471,9.728e-05,31.8491,-0.316557,7980.3
17300,1,2.276452,3.506263,9.726e-05,31.9016,-0.316979,8003.0
17350,1,2.736068,3.503139,9.724e-05,31.9443,-0.317355,8025.8
17400,1,2.264606,3.500191,9.722e-05,31.964,-0.317663,8048.9
17450,1,2.686769,3.497356,9.721e-05,31.977,-0.317934,8071.9
17500,1,2.302763,3.494659,9.719e-05,31.9852,-0.318222,8094.7
17550,1,2.744551,3.491509,9.717e-05,32.0345,-0.31856,8117.4
17600,1,2.432891,3.48882,9.715e-05,32.0368,-0.318811,8140.2
17650,1,1.744171,3.485698,9.713e-05,32.0756,-0.319155,8162.9
17700,1,2.324843,3.482591,9.711e-05,32.106,-0.319434,8185.6
17750,1,2.714466,3.479894,9.71e-05,32.1121,-0.319699,8208.4
17800,1,2.761902,3.477342,9.708e-05,32.1276,-0.319994,8231.0
17850,1,2.467428,3.474421,9.706e-05,32.158,-0.320288,8253.6
17900,1,2.488764,3.471732,9.704e-05,32.1765,-0.320592,8276.3
17950,1,2.767068,3.46915,9.702e-05,32.1842,-0.320858,8298.9
18000,1,2.236897,3.46646,9.7e-05,32.2083,-0.321212,8321.4
18050,1,1.838769,3.463382,9.699e-05,32.2471,-0.321526,8348.9
18100,1,2.538862,3.460251,9.697e-05,32.2816,-0.321838,8371.7
18150,1,2.52342,3.457921,9.695e-05,32.2709,-0.321973,8394.4
18200,1,2.357852,3.455129,9.693e-05,32.3003,-0.322297,8416.9
18250,1,2.612166,3.452559,9.691e-05,32.3195,-0.322625,8439.7
18300,1,2.626915,3.449516,9.689e-05,32.3797,-0.322995,8462.3
